id,name,close_approach_date,miss_distance_km,velocity_kph
2465633,465633 (2009 JR5),2015-09-08,45290298.225725659,65260.5699103704
3426410,(2008 QV11),2015-09-08,38764558.550560687,71099.3261312856
3553060,(2010 XT10),2015-09-08,73563782.385433689,68950.9255988812
3726710,(2015 RC),2015-09-08,4027962.697099799,70151.9167909206
3727181,(2015 RO36),2015-09-08,8086031.995456672,56912.9227892906
3727639,(2015 RN83),2015-09-08,25195177.358205543,43492.1113096542
3730577,(2015 TX237),2015-09-08,11896602.433824546,23664.2417675863
3731587,(2015 UG),2015-09-08,16940461.018585347,43040.7362163935
3747356,(2016 EK158),2015-09-08,41958497.683910302,61046.242250638
3758838,(2016 RT),2015-09-08,25537198.19621449,68754.220451069
54191333,(2021 QP3),2015-09-08,59086618.145208482,33518.4463701775
54218591,(2021 VC9),2015-09-08,66300895.211580588,18729.435222936
54393994,(2023 TP16),2015-09-08,53869374.133138981,42649.5183607987
2440012,440012 (2002 LE27),2015-09-07,74525035.840942964,4187.1034988155
3713989,(2015 FC35),2015-09-07,48077022.457470529,31548.7181977204
3726788,(2015 RG2),2015-09-07,2450214.654065658,29113.7972136669
3727036,(2015 RL35),2015-09-07,10359193.665872923,12661.0618226584
3727179,(2015 RH36),2015-09-07,16356725.896225626,26178.3406398515
3727662,(2015 RX83),2015-09-07,43320793.722666844,9700.4054267199
3727663,(2015 RY83),2015-09-07,11442728.839194234,25128.8978914704
3759353,(2016 RU33),2015-09-07,33966068.133246049,47572.1706482885
3759690,(2016 RN41),2015-09-07,18031340.714294095,48533.5778505242
3827337,(2018 RZ2),2015-09-07,62701736.468136927,66647.8557106394
3843641,(2019 QK4),2015-09-07,50503662.791031385,137863.314414063
3986741,(2020 BY),2015-09-07,60851422.512182764,97883.7299230601
54088823,(2020 WZ),2015-09-07,69144636.96606024,72279.8474933128
54426080,(2024 CU2),2015-09-07,39499570.375096909,51748.8807943588
2465633,465633 (2009 JR5),2015-09-08,45290298.225725659,65260.5699103704
3426410,(2008 QV11),2015-09-08,38764558.550560687,71099.3261312856
3553060,(2010 XT10),2015-09-08,73563782.385433689,68950.9255988812
3726710,(2015 RC),2015-09-08,4027962.697099799,70151.9167909206
3727181,(2015 RO36),2015-09-08,8086031.995456672,56912.9227892906
3727639,(2015 RN83),2015-09-08,25195177.358205543,43492.1113096542
3730577,(2015 TX237),2015-09-08,11896602.433824546,23664.2417675863
3731587,(2015 UG),2015-09-08,16940461.018585347,43040.7362163935
3747356,(2016 EK158),2015-09-08,41958497.683910302,61046.242250638
3758838,(2016 RT),2015-09-08,25537198.19621449,68754.220451069
54191333,(2021 QP3),2015-09-08,59086618.145208482,33518.4463701775
54218591,(2021 VC9),2015-09-08,66300895.211580588,18729.435222936
54393994,(2023 TP16),2015-09-08,53869374.133138981,42649.5183607987
2440012,440012 (2002 LE27),2015-09-07,74525035.840942964,4187.1034988155
3713989,(2015 FC35),2015-09-07,48077022.457470529,31548.7181977204
3726788,(2015 RG2),2015-09-07,2450214.654065658,29113.7972136669
3727036,(2015 RL35),2015-09-07,10359193.665872923,12661.0618226584
3727179,(2015 RH36),2015-09-07,16356725.896225626,26178.3406398515
3727662,(2015 RX83),2015-09-07,43320793.722666844,9700.4054267199
3727663,(2015 RY83),2015-09-07,11442728.839194234,25128.8978914704
3759353,(2016 RU33),2015-09-07,33966068.133246049,47572.1706482885
3759690,(2016 RN41),2015-09-07,18031340.714294095,48533.5778505242
3827337,(2018 RZ2),2015-09-07,62701736.468136927,66647.8557106394
3843641,(2019 QK4),2015-09-07,50503662.791031385,137863.314414063
3986741,(2020 BY),2015-09-07,60851422.512182764,97883.7299230601
54088823,(2020 WZ),2015-09-07,69144636.96606024,72279.8474933128
54426080,(2024 CU2),2015-09-07,39499570.375096909,51748.8807943588
2465633,465633 (2009 JR5),2015-09-08,45290298.225725659,65260.5699103704
3426410,(2008 QV11),2015-09-08,38764558.550560687,71099.3261312856
3553060,(2010 XT10),2015-09-08,73563782.385433689,68950.9255988812
3726710,(2015 RC),2015-09-08,4027962.697099799,70151.9167909206
3727181,(2015 RO36),2015-09-08,8086031.995456672,56912.9227892906
3727639,(2015 RN83),2015-09-08,25195177.358205543,43492.1113096542
3730577,(2015 TX237),2015-09-08,11896602.433824546,23664.2417675863
3731587,(2015 UG),2015-09-08,16940461.018585347,43040.7362163935
3747356,(2016 EK158),2015-09-08,41958497.683910302,61046.242250638
3758838,(2016 RT),2015-09-08,25537198.19621449,68754.220451069
54191333,(2021 QP3),2015-09-08,59086618.145208482,33518.4463701775
54218591,(2021 VC9),2015-09-08,66300895.211580588,18729.435222936
54393994,(2023 TP16),2015-09-08,53869374.133138981,42649.5183607987
2440012,440012 (2002 LE27),2015-09-07,74525035.840942964,4187.1034988155
3713989,(2015 FC35),2015-09-07,48077022.457470529,31548.7181977204
3726788,(2015 RG2),2015-09-07,2450214.654065658,29113.7972136669
3727036,(2015 RL35),2015-09-07,10359193.665872923,12661.0618226584
3727179,(2015 RH36),2015-09-07,16356725.896225626,26178.3406398515
3727662,(2015 RX83),2015-09-07,43320793.722666844,9700.4054267199
3727663,(2015 RY83),2015-09-07,11442728.839194234,25128.8978914704
3759353,(2016 RU33),2015-09-07,33966068.133246049,47572.1706482885
3759690,(2016 RN41),2015-09-07,18031340.714294095,48533.5778505242
3827337,(2018 RZ2),2015-09-07,62701736.468136927,66647.8557106394
3843641,(2019 QK4),2015-09-07,50503662.791031385,137863.314414063
3986741,(2020 BY),2015-09-07,60851422.512182764,97883.7299230601
54088823,(2020 WZ),2015-09-07,69144636.96606024,72279.8474933128
54426080,(2024 CU2),2015-09-07,39499570.375096909,51748.8807943588
2465633,465633 (2009 JR5),2015-09-08,45290298.225725659,65260.5699103704
3426410,(2008 QV11),2015-09-08,38764558.550560687,71099.3261312856
3553060,(2010 XT10),2015-09-08,73563782.385433689,68950.9255988812
3726710,(2015 RC),2015-09-08,4027962.697099799,70151.9167909206
3727181,(2015 RO36),2015-09-08,8086031.995456672,56912.9227892906
3727639,(2015 RN83),2015-09-08,25195177.358205543,43492.1113096542
3730577,(2015 TX237),2015-09-08,11896602.433824546,23664.2417675863
3731587,(2015 UG),2015-09-08,16940461.018585347,43040.7362163935
3747356,(2016 EK158),2015-09-08,41958497.683910302,61046.242250638
3758838,(2016 RT),2015-09-08,25537198.19621449,68754.220451069
54191333,(2021 QP3),2015-09-08,59086618.145208482,33518.4463701775
54218591,(2021 VC9),2015-09-08,66300895.211580588,18729.435222936
54393994,(2023 TP16),2015-09-08,53869374.133138981,42649.5183607987
2440012,440012 (2002 LE27),2015-09-07,74525035.840942964,4187.1034988155
3713989,(2015 FC35),2015-09-07,48077022.457470529,31548.7181977204
3726788,(2015 RG2),2015-09-07,2450214.654065658,29113.7972136669
3727036,(2015 RL35),2015-09-07,10359193.665872923,12661.0618226584
3727179,(2015 RH36),2015-09-07,16356725.896225626,26178.3406398515
3727662,(2015 RX83),2015-09-07,43320793.722666844,9700.4054267199
3727663,(2015 RY83),2015-09-07,11442728.839194234,25128.8978914704
3759353,(2016 RU33),2015-09-07,33966068.133246049,47572.1706482885
3759690,(2016 RN41),2015-09-07,18031340.714294095,48533.5778505242
3827337,(2018 RZ2),2015-09-07,62701736.468136927,66647.8557106394
3843641,(2019 QK4),2015-09-07,50503662.791031385,137863.314414063
3986741,(2020 BY),2015-09-07,60851422.512182764,97883.7299230601
54088823,(2020 WZ),2015-09-07,69144636.96606024,72279.8474933128
54426080,(2024 CU2),2015-09-07,39499570.375096909,51748.8807943588
2465633,465633 (2009 JR5),2015-09-08,45290298.225725659,65260.5699103704
3426410,(2008 QV11),2015-09-08,38764558.550560687,71099.3261312856
3553060,(2010 XT10),2015-09-08,73563782.385433689,68950.9255988812
3726710,(2015 RC),2015-09-08,4027962.697099799,70151.9167909206
3727181,(2015 RO36),2015-09-08,8086031.995456672,56912.9227892906
3727639,(2015 RN83),2015-09-08,25195177.358205543,43492.1113096542
3730577,(2015 TX237),2015-09-08,11896602.433824546,23664.2417675863
3731587,(2015 UG),2015-09-08,16940461.018585347,43040.7362163935
3747356,(2016 EK158),2015-09-08,41958497.683910302,61046.242250638
3758838,(2016 RT),2015-09-08,25537198.19621449,68754.220451069
54191333,(2021 QP3),2015-09-08,59086618.145208482,33518.4463701775
54218591,(2021 VC9),2015-09-08,66300895.211580588,18729.435222936
54393994,(2023 TP16),2015-09-08,53869374.133138981,42649.5183607987
2440012,440012 (2002 LE27),2015-09-07,74525035.840942964,4187.1034988155
3713989,(2015 FC35),2015-09-07,48077022.457470529,31548.7181977204
3726788,(2015 RG2),2015-09-07,2450214.654065658,29113.7972136669
3727036,(2015 RL35),2015-09-07,10359193.665872923,12661.0618226584
3727179,(2015 RH36),2015-09-07,16356725.896225626,26178.3406398515
3727662,(2015 RX83),2015-09-07,43320793.722666844,9700.4054267199
3727663,(2015 RY83),2015-09-07,11442728.839194234,25128.8978914704
3759353,(2016 RU33),2015-09-07,33966068.133246049,47572.1706482885
3759690,(2016 RN41),2015-09-07,18031340.714294095,48533.5778505242
3827337,(2018 RZ2),2015-09-07,62701736.468136927,66647.8557106394
3843641,(2019 QK4),2015-09-07,50503662.791031385,137863.314414063
3986741,(2020 BY),2015-09-07,60851422.512182764,97883.7299230601
54088823,(2020 WZ),2015-09-07,69144636.96606024,72279.8474933128
54426080,(2024 CU2),2015-09-07,39499570.375096909,51748.8807943588
2465633,465633 (2009 JR5),2015-09-08,45290298.225725659,65260.5699103704
3426410,(2008 QV11),2015-09-08,38764558.550560687,71099.3261312856
3553060,(2010 XT10),2015-09-08,73563782.385433689,68950.9255988812
3726710,(2015 RC),2015-09-08,4027962.697099799,70151.9167909206
3727181,(2015 RO36),2015-09-08,8086031.995456672,56912.9227892906
3727639,(2015 RN83),2015-09-08,25195177.358205543,43492.1113096542
3730577,(2015 TX237),2015-09-08,11896602.433824546,23664.2417675863
3731587,(2015 UG),2015-09-08,16940461.018585347,43040.7362163935
3747356,(2016 EK158),2015-09-08,41958497.683910302,61046.242250638
3758838,(2016 RT),2015-09-08,25537198.19621449,68754.220451069
54191333,(2021 QP3),2015-09-08,59086618.145208482,33518.4463701775
54218591,(2021 VC9),2015-09-08,66300895.211580588,18729.435222936
54393994,(2023 TP16),2015-09-08,53869374.133138981,42649.5183607987
2440012,440012 (2002 LE27),2015-09-07,74525035.840942964,4187.1034988155
3713989,(2015 FC35),2015-09-07,48077022.457470529,31548.7181977204
3726788,(2015 RG2),2015-09-07,2450214.654065658,29113.7972136669
3727036,(2015 RL35),2015-09-07,10359193.665872923,12661.0618226584
3727179,(2015 RH36),2015-09-07,16356725.896225626,26178.3406398515
3727662,(2015 RX83),2015-09-07,43320793.722666844,9700.4054267199
3727663,(2015 RY83),2015-09-07,11442728.839194234,25128.8978914704
3759353,(2016 RU33),2015-09-07,33966068.133246049,47572.1706482885
3759690,(2016 RN41),2015-09-07,18031340.714294095,48533.5778505242
3827337,(2018 RZ2),2015-09-07,62701736.468136927,66647.8557106394
3843641,(2019 QK4),2015-09-07,50503662.791031385,137863.314414063
3986741,(2020 BY),2015-09-07,60851422.512182764,97883.7299230601
54088823,(2020 WZ),2015-09-07,69144636.96606024,72279.8474933128
54426080,(2024 CU2),2015-09-07,39499570.375096909,51748.8807943588
2465633,465633 (2009 JR5),2015-09-08,45290298.225725659,65260.5699103704
3426410,(2008 QV11),2015-09-08,38764558.550560687,71099.3261312856
3553060,(2010 XT10),2015-09-08,73563782.385433689,68950.9255988812
3726710,(2015 RC),2015-09-08,4027962.697099799,70151.9167909206
3727181,(2015 RO36),2015-09-08,8086031.995456672,56912.9227892906
3727639,(2015 RN83),2015-09-08,25195177.358205543,43492.1113096542
3730577,(2015 TX237),2015-09-08,11896602.433824546,23664.2417675863
3731587,(2015 UG),2015-09-08,16940461.018585347,43040.7362163935
3747356,(2016 EK158),2015-09-08,41958497.683910302,61046.242250638
3758838,(2016 RT),2015-09-08,25537198.19621449,68754.220451069
54191333,(2021 QP3),2015-09-08,59086618.145208482,33518.4463701775
54218591,(2021 VC9),2015-09-08,66300895.211580588,18729.435222936
54393994,(2023 TP16),2015-09-08,53869374.133138981,42649.5183607987
2440012,440012 (2002 LE27),2015-09-07,74525035.840942964,4187.1034988155
3713989,(2015 FC35),2015-09-07,48077022.457470529,31548.7181977204
3726788,(2015 RG2),2015-09-07,2450214.654065658,29113.7972136669
3727036,(2015 RL35),2015-09-07,10359193.665872923,12661.0618226584
3727179,(2015 RH36),2015-09-07,16356725.896225626,26178.3406398515
3727662,(2015 RX83),2015-09-07,43320793.722666844,9700.4054267199
3727663,(2015 RY83),2015-09-07,11442728.839194234,25128.8978914704
3759353,(2016 RU33),2015-09-07,33966068.133246049,47572.1706482885
3759690,(2016 RN41),2015-09-07,18031340.714294095,48533.5778505242
3827337,(2018 RZ2),2015-09-07,62701736.468136927,66647.8557106394
3843641,(2019 QK4),2015-09-07,50503662.791031385,137863.314414063
3986741,(2020 BY),2015-09-07,60851422.512182764,97883.7299230601
54088823,(2020 WZ),2015-09-07,69144636.96606024,72279.8474933128
54426080,(2024 CU2),2015-09-07,39499570.375096909,51748.8807943588
